,Words,Stat,p-value
0,AMBER,0.9945956444674269,0.4008280898055908
1,AMETHYST,1.1619653849320555,0.3379175306872578
2,APPLE,12.662096633797297,0.000724898993311851
3,ASPARAGUS,23.793857294061876,0.00015788860301768626
4,AUTUMN,1.2154351311761156,0.33689326640459405
5,AXOLOTL,0.23905176931360514,0.790317023480877
6,BANANA,2.8889217480797167,0.08905200418400872
7,BARBIE,3.909156284934665,0.04928189895750501
8,BASIL,0.6808537173464682,0.5175357188748426
9,BEET,0.6194532783229091,0.552356676261917
10,BLAS (Y EPI),0.4760621019551296,0.6360192333669366
11,BLOOD,0.8991132898302814,0.42652649250390395
12,BRICK,0.11598631588383336,0.8911860177706559
13,BRUSH,7.015862284195819,0.010863268783598556
14,CANARY,2.0715221757049624,0.17238012828572913
15,CARNATION,0.4416515212362841,0.6490946803585209
16,COCONUT,66.66939553678854,1.73611628406789e-08
17,COOKIE MONSTER,11.299505771029839,0.0027163006742284557
18,CORAL,4.963039614517899,0.01920272460440553
19,CRICKET,4.4673277409237295,0.03158280545250969
20,CUCUMBER,7.0540858518006715,0.006927435364267098
21,DANGER,0.5263246858864431,0.6202420703428189
22,DISGUST,3.196857402529191,0.06791265630716503
23,ECOLOGY,12.090070283940861,0.0021435359802710607
24,EGG,3.7272761940718286,0.05038021802198023
25,EGGPLANT,2.6074413692102065,0.12786348167438044
26,ELMO,3.996101007315438,0.049601579047636846
27,EMERALD,4.118197292701823,0.03921440643450791
28,EPI (Y BLAS),0.6820012663163051,0.5327382233445679
29,FEMINISM,28.104453919854556,2.9651106333683508e-05
30,FIRE,1.620809532209856,0.23052024703773366
31,FLAMINGO,17.65972415789713,0.0005230906143904868
32,FLASH,2.3568640203728353,0.13697694912323333
33,FOX,2.219337618126531,0.14818154079522905
34,FROG,5.4694442302448065,0.014656770207217451
35,GOLD,1.8512836509671877,0.18571737678955125
36,GRAPE,5.514430155335564,0.02001948051063418
37,GRASS,0.3626194022169517,0.7005637263234676
38,GRINCH,3.1252021488121824,0.0882427731979567
39,GRIZZLY,0.709970032685419,0.5074551754916218
40,HAPINESS,1.4783006335353217,0.26394852352562836
41,HOPE,17.0183923747276,8.745964811751605e-05
42,HULK,89.19806364692633,6.268141805598759e-08
43,HURRICANE,4.574781548812617,0.028110259647241898
44,JADE,0.6930255150516783,0.514460767473393
45,KIWI,2.275741168012306,0.15327235056331
46,LADYBUG,0.3118621162766525,0.7374096265318435
47,LAPIS LAZULI,3.748014692809332,0.042456250769613235
48,LAVENDER,1.6274417947439805,0.22264790001500478
49,LEMON,6.70244802486884,0.009080277816208682
50,LIME,1.7644653880018362,0.21645851185256704
51,LONELINESS,0.7700862250742573,0.4829805780099403
52,MALLOW,1.618820011300172,0.24196398194142488
53,MINT,11.113804122605865,0.0005679827133379112
54,MOSS,12.513912032319524,0.001158559458227626
55,MUD,0.7959598899230327,0.4735901492707899
56,PEACE,10.55554233643507,0.0016024575241186945
57,PEACH,10.178238926334858,0.0016112650293399478
58,PEARL,0.33600290413145556,0.7185777626321275
59,PETER PAN,1.0046984509258838,0.39741601835089113
60,PIG,3.453856920611271,0.0551115233106243
61,PIKACHU,1.9599194586567827,0.1913502139379204
62,POND,28.264036618471273,1.8475258624417457e-05
63,POPPY,0.040551777678292204,0.9603469120962229
64,PUMPKIN,0.8870175090261435,0.4372404973998498
65,RAGE,8.804781753366715,0.0029552692215959464
66,RELAX,30.55891428468841,5.123143416385645e-06
67,RUBY,2.994183351830909,0.07691248502714887
68,SADNESS,5.1233805361604565,0.03695020112504632
69,SALMON,0.026241918587651958,0.9741440254723049
70,SAND,10.974034943268466,0.0008703327710262165
71,SAPPHIRE,3.9227237835976405,0.04645782062020376
72,SEA,6.023488525238655,0.014083877014139934
73,SHAME,2.127812160979995,0.15156355813790645
74,SHRECK,5.501511169654517,0.027489130473632772
75,SIMPSON,3.8890054056615915,0.04358288570386515
76,SKIN,2.3280318201907337,0.1435177408026519
77,SKY,3.7929290556549176,0.048273748514468307
78,SMURF,0.5100126140212058,0.6140166995141294
79,SONIC,34.60419028016413,6.798741825075894e-07
80,SPRING,2.7266530003144496,0.10260052841729372
81,STITCH,5.703748590676089,0.022241830278541652
82,SUBMARINE,14.28125241252175,0.001172664617273611
83,SUMMER,388.18078820654506,2.7644553313166398e-14
84,SUNFLOWER,1.6780346510079676,0.22475981544460288
85,SUNRISE,1.4163261994775815,0.26982303939607877
86,SUNSET,3.2858131947362064,0.08001553854090182
87,THUNDERBOLT,0.12382109239743343,0.8844947341718842
88,TIGER,0.5972057462571587,0.5629186865316648
89,TILE,31.131299525189416,1.4349394514834302e-06
90,TOAD,11.870018894937065,0.0009666737708562412
91,TOMATO,1.956801939502642,0.19695985714437336
92,TOXIC,1.125086039234021,0.35658808203477543
93,TRACTOR,24.35052133863214,0.0001434732455239951
94,WHALE,5.541672855125797,0.012707523776368967
95,WHEAT,14.203411945725692,0.00042741132262347215
96,WINTER,5.958709768340206,0.014566723297973816
97,WITCHCRAFT,2.16897816575066,0.15386697260843452
98,WOOD,1.9443701655664425,0.17360478710604577
99,ZUCCHINI,12.808690709453352,0.0006881702326495542
